Indikator,Auspraegung,Jahr,Raumbezug,Indikatorwert,Basiswert1,Basiswert2,Basiswert3,Basiswert4,Basiswert5,NameBasiswert1,NameBasiswert2,NameBasiswert3,NameBasiswert4,NameBasiswert5
Baugenehmigungen,Wohnfläche,2021,14 Berg am Laim,86.0,11174,130,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,15 Trudering - Riem,89.6,29112,325,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,16 Ramersdorf - Perlach,70.3,41041,584,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,17 Obergiesing - Fasangarten,43.7,14025,321,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,18 Untergiesing - Harlaching,64.6,12218,189,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,73.1,46029,630,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,20 Hadern,77.3,12987,168,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,21 Pasing - Obermenzing,75.5,54693,724,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,22 Aubing - Lochhausen - Langwied,66.1,118069,1786,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,23 Allach - Untermenzing,84.0,18896,225,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,24 Feldmoching - Hasenbergl,81.8,16025,196,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2021,25 Laim,76.2,12805,168,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,Stadt München,64.9,662607,10204,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,01 Altstadt - Lehel,74.9,749,10,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,02 Ludwigsvorstadt - Isarvorstadt,88.0,0,0,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,03 Maxvorstadt,80.0,6718,84,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,04 Schwabing - West,28.9,6064,210,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,05 Au - Haidhausen,60.3,6994,116,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,06 Sendling,58.4,44330,759,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,07 Sendling - Westpark,74.9,25924,346,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,08 Schwanthalerhöhe,65.5,1375,21,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,09 Neuhausen - Nymphenburg,76.3,19533,256,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,10 Moosach,40.9,18257,446,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,11 Milbertshofen - Am Hart,58.7,43020,733,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,12 Schwabing - Freimann,64.4,18296,284,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,13 Bogenhausen,90.0,39052,434,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,14 Berg am Laim,73.0,7449,102,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,15 Trudering - Riem,77.3,56185,727,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2020,16 Ramersdorf - Perlach,47.3,47762,1009,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
