Wohnfläche,Baujahr_kl,Grundpreis_eur_m2
153-154,1978-1988,10.84
155-156,1978-1988,10.87
157-158,1978-1988,10.9
159-160,1978-1988,10.93
20-22,1989-1998,19.28
23-24,1989-1998,18.5
25-26,1989-1998,17.77
27-28,1989-1998,17.1
29-30,1989-1998,16.49
31-32,1989-1998,15.93
33-34,1989-1998,15.41
35-36,1989-1998,14.95
37-38,1989-1998,14.52
39-40,1989-1998,14.14
41-42,1989-1998,13.79
43-44,1989-1998,13.48
45-46,1989-1998,13.21
47-48,1989-1998,12.96
49-50,1989-1998,12.74
51-52,1989-1998,12.54
53-54,1989-1998,12.37
55-56,1989-1998,12.21
57-58,1989-1998,12.08
59-60,1989-1998,11.95
61-62,1989-1998,11.84
63-64,1989-1998,11.73
65-66,1989-1998,11.63
67-68,1989-1998,11.54
69-70,1989-1998,11.44
71-72,1989-1998,11.35
73-74,1989-1998,11.26
75-76,1989-1998,11.17
77-78,1989-1998,11.08
79-80,1989-1998,10.99
81-82,1989-1998,10.91
83-84,1989-1998,10.83
85-86,1989-1998,10.75
87-88,1989-1998,10.68
89-90,1989-1998,10.61
91-92,1989-1998,10.54
93-94,1989-1998,10.48
95-96,1989-1998,10.42
97-98,1989-1998,10.36
99-100,1989-1998,10.31
101-102,1989-1998,10.27
103-104,1989-1998,10.23
105-106,1989-1998,10.2
107-108,1989-1998,10.17
109-110,1989-1998,10.15
111-112,1989-1998,10.13
113-114,1989-1998,10.13
115-116,1989-1998,10.13
117-118,1989-1998,10.13
119-120,1989-1998,10.14
121-122,1989-1998,10.16
123-124,1989-1998,10.18
125-126,1989-1998,10.21
127-128,1989-1998,10.24
129-130,1989-1998,10.27
131-132,1989-1998,10.31
133-134,1989-1998,10.35
135-136,1989-1998,10.39
137-138,1989-1998,10.43
139-140,1989-1998,10.47
141-142,1989-1998,10.52
143-144,1989-1998,10.56
145-146,1989-1998,10.6
147-148,1989-1998,10.64
149-150,1989-1998,10.68
151-152,1989-1998,10.72
153-154,1989-1998,10.75
155-156,1989-1998,10.78
157-158,1989-1998,10.81
159-160,1989-1998,10.84
20-22,1999-2008,19.97
23-24,1999-2008,19.18
25-26,1999-2008,18.46
27-28,1999-2008,17.79
29-30,1999-2008,17.17
31-32,1999-2008,16.61
33-34,1999-2008,16.1
35-36,1999-2008,15.63
37-38,1999-2008,15.2
39-40,1999-2008,14.82
41-42,1999-2008,14.47
43-44,1999-2008,14.16
45-46,1999-2008,13.89
47-48,1999-2008,13.64
49-50,1999-2008,13.42
51-52,1999-2008,13.22
53-54,1999-2008,13.05
55-56,1999-2008,12.9
57-58,1999-2008,12.76
59-60,1999-2008,12.63
61-62,1999-2008,12.52
63-64,1999-2008,12.42
65-66,1999-2008,12.32
67-68,1999-2008,12.22
69-70,1999-2008,12.13
71-72,1999-2008,12.03
73-74,1999-2008,11.94
75-76,1999-2008,11.85
77-78,1999-2008,11.76
79-80,1999-2008,11.68
81-82,1999-2008,11.59
83-84,1999-2008,11.51
85-86,1999-2008,11.43
87-88,1999-2008,11.36
89-90,1999-2008,11.29
91-92,1999-2008,11.22
93-94,1999-2008,11.16
95-96,1999-2008,11.1
97-98,1999-2008,11.05
99-100,1999-2008,11.0
101-102,1999-2008,10.95
103-104,1999-2008,10.91
105-106,1999-2008,10.88
107-108,1999-2008,10.85
109-110,1999-2008,10.83
111-112,1999-2008,10.82
113-114,1999-2008,10.81
115-116,1999-2008,10.81
117-118,1999-2008,10.81
119-120,1999-2008,10.82
121-122,1999-2008,10.84
123-124,1999-2008,10.86
125-126,1999-2008,10.89
127-128,1999-2008,10.92
129-130,1999-2008,10.95
131-132,1999-2008,10.99
133-134,1999-2008,11.03
135-136,1999-2008,11.07
137-138,1999-2008,11.11
139-140,1999-2008,11.15
141-142,1999-2008,11.2
